effect_id,study_id,study_design,construct,sub_construct,measure_type,sample_context,name,age,cleft_type,cleft_n,cleft_mean,cleft_sd,compare_n,compare_mean,compare_sd,eff_size,var,test_fam,test_analy,test_statistic,test_alpha,num_var,location,year,pal_repair_age,pal_repair_type
270,38,2,1,11,.,1,Number of Initial Consonants,27.4,5,26,6.9,3.3,42,14.6,2.5,-2.7211,0.1167,,,,,,0,1,12,0
296,38,2,1,12,.,1,PCC - Fricatives,27.4,5,26,29.6,11.8,42,94.5,8,-6.748,0.3971,,,,,,0,1,12,0
355,38,2,1,11,.,1,Initial Clusters,27.4,5,26,0.4,0.7,42,1.3,0.7,-1.2857,0.0744,,,,,,0,1,12,0
449,38,2,1,13,.,1,Percent Word Errors,27.4,5,26,76.3,17,42,10.7,9.8,5.0442,0.2494,,,,,,0,1,12,0
461,38,2,1,13,.,1,Percent Omission,27.4,5,26,16.6,13.9,42,2.3,3.5,1.5909,0.0809,,,,,,0,1,12,0
508,38,2,1,12,.,1,PCC - Glides,27.4,5,26,69.2,48,42,78.1,42,-0.2006,0.0626,,,,,,0,1,12,0
540,38,2,1,11,.,1,Number of Consonants,27.4,5,26,25.8,15.7,42,65.9,11.5,-3.0268,0.1296,,,,,,0,1,12,0
570,38,2,1,13,.,1,Percent Substitutions,27.4,5,26,23.9,13.9,42,3.5,3.7,2.2571,0.0997,,,,,,0,1,12,0
614,38,2,1,12,.,1,PCC - Nasals,27.4,5,26,66.9,25.7,42,97.9,5.2,-1.8972,0.0887,,,,,,0,1,12,0
859,38,2,1,12,.,1,PCC - Affricates,27.4,5,26,11.8,28.1,42,79.7,33.3,-2.1602,0.0966,,,,,,0,1,12,0
911,38,2,1,12,.,1,PCC - Total,27.4,5,26,34.9,20.2,42,86.5,15.1,-2.9982,0.1284,,,,,,0,1,12,0
954,38,2,1,13,.,1,Compensatory Errors,27.4,5,26,7,6.8,42,0,0,1.6726,0.0828,,,,,,0,1,12,0
1070,38,2,1,11,.,1,Number Final Consonants,27.4,5,26,4,3,42,14,2.7,-3.5494,0.1549,,,,,,0,1,12,0
239,40,5,1,11,.,2,Mean Babbling Level   ,12,5,8,1.25,0.14,8,1.73,0.22,-2.6032,0.4618,,,,,,1,1,11.1,0
505,40,5,1,11,.,2,Consonant Inventory,24,5,8,11.5,2.74,8,15.75,4.13,-1.2127,0.296,,,,,,1,1,11.1,0
666,40,5,1,11,.,2,Mean Babbling Level   ,12,5,8,1.18,0.12,8,1.43,0.15,-1.8283,0.3545,,,,,,0,1,11.1,0
1100,40,5,1,11,.,2,Consonant Inventory,24,5,8,12,1.6,8,14.88,1.55,-1.8405,0.3559,,,,,,0,1,11.1,0
1445,40,5,2,22,2,0,MLU - USA,24,5,8,1.36,0.32,8,1.94,0.36,-1.7029,0.3406,,,,,,0,1,11.1,0
1643,40,5,2,22,2,1,NDW - Slovak,24,5,8,30.33,11.11,8,81.13,21.23,-2.9983,0.5309,,,,,,1,1,11.1,0
1835,40,5,2,22,2,0,MLU - Slovak,24,5,8,1.09,0.09,8,2.02,0.57,-2.2792,0.4123,,,,,,1,1,11.1,0
1966,40,5,2,22,2,1,NDW - USA,24,5,8,46.25,22.4,8,70.5,10.89,-1.3769,0.3092,,,,,,0,1,11.1,0
1354,42,5,2,22,1,0,SICD-R Expressive,30,3,14,26.1,7.7,25,30.6,1.9,-0.9348,0.1226,,,,,,0,0,12,0
1588,42,5,2,21,1,0,SICD-R Receptive,30,3,14,28,8,25,31.5,2.4,-0.6835,0.1174,,,,,,0,0,12,0
1602,42,5,2,22,1,0,SICD-R Expressive,30,1,11,23.3,3.5,25,30.6,1.9,-2.9434,0.2512,,,,,,0,0,12,0
1706,42,5,2,22,2,1,CDI: Words & Sentences -total,30,1,11,203.27,260,25,410.22,218,-0.8953,0.142,,,,,,0,0,12,0
1906,42,5,2,22,2,0,MLU,30,1,11,0.88,0.83,25,2.67,0.95,-1.9534,0.1839,,,,,,0,0,12,0
1923,42,5,2,21,1,0,SICD-R Receptive,30,1,11,24,7.8,25,31.5,2.4,-1.6005,0.1665,,,,,,0,0,12,0
1937,42,5,2,22,2,1,CDI: Words & Sentences -total,30,3,14,346.71,167.7,25,410.22,218,-0.3148,0.1127,,,,,,0,0,12,0
1983,42,5,2,22,2,0,MLU,30,3,14,1.73,0.42,25,2.67,0.95,-1.1683,0.1289,,,,,,0,0,12,0
1752,49,2,2,21,1,1,PPVT (mental age),49.19,5,67,37.6,12.92,165,61.1,19.23,-1.3313,0.0248,,,,,,0,0,,
628,51,2,1,11,.,1,Number of Consonants,24.5,5,30,8,3.9,30,10.1,4,-0.5316,0.069,,,,,,0,0,12.5,0
1129,51,2,2,22,2,1,TNW,24.5,5,30,66.4,43.5,30,133.4,116.5,-0.7619,0.0715,,,,,,0,0,12.5,0
1534,51,2,2,22,2,0,Number grammatical morphemes,24.5,5,30,1.9,2.3,30,3.8,3.6,-0.629,0.07,,,,,,0,0,12.5,0
1611,51,2,2,21,1,0,PLS-3 Receptive,24.5,5,30,100.7,8.6,30,105.2,15.5,-0.367,0.0678,,,,,,0,0,12.5,0
1697,51,2,2,22,1,0,PLS-3 Expressive,24.5,5,30,90.3,9.9,30,106.1,16.3,-1.1717,0.0781,,,,,,0,0,12.5,0
1725,51,2,2,22,2,0,MLU,24.5,5,30,1.4,0.7,30,1.9,0.8,-0.6652,0.0704,,,,,,0,0,12.5,0
1823,51,2,2,22,2,1,NDW,24.5,5,30,44.9,38.1,30,76.9,62.5,-0.6183,0.0699,,,,,,0,0,12.5,0
1915,51,2,2,22,2,0,CDI:Toddler - mean 3 longest,24.5,5,30,2.5,1.5,30,3.4,2,-0.5091,0.0688,,,,,,0,0,12.5,0
1984,51,2,2,22,2,0,CDI:Toddler - total complexity,24.5,5,30,9.8,12,30,10.7,9.8,-0.0822,0.0667,,,,,,0,0,12.5,0
1987,51,2,2,22,2,1,CDI:Toddler - total words,24.5,5,30,177,155.3,30,288.7,206.7,-0.611,0.0698,,,,,,0,0,12.5,0
1301,55,2,2,22,1,0,DDS,17.66,5,24,-1.9,5.6,24,0.5,4.1,-0.489,0.0858,,,,,,0,0,,
1349,55,2,2,21,2,0,REEL - Receptive (age difference),17.66,5,24,0.7,2.7,24,2.8,2.7,-0.7778,0.0896,,,,,,0,0,,
1683,55,2,2,22,1,0,B-3S- Language Expression (age difference),17.66,5,24,-2.9,6,24,0.4,4,-0.6472,0.0877,,,,,,0,0,,
1828,55,2,2,21,1,0,B-3S - Language Comprehension (age difference),17.66,5,24,-3.3,5.5,24,-1.1,4.3,-0.4457,0.0854,,,,,,0,0,,
1880,55,2,2,22,2,0,REEL - Expressive (age difference),17.66,5,24,-1.1,3.4,24,1.7,2.3,-0.9647,0.093,,,,,,0,0,,
183,56,5,1,12,.,2,Percent Accuracy for Initial Word Position,22,5,5,58.1,19.5,5,75.1,15,-0.9772,0.4477,,,,,,1,0,14.3,0
134,57,2,1,13,.,2,Cleft Speech Characteristics (story retell),60,3,20,17.41,18,20,0.64,0.98,1.3156,0.1216,,,,,,1,1,.,1
140,57,2,1,12,.,2,Percent Correct Place (sentences),60,3,20,77.99,20.45,20,96.91,3.58,-1.2888,0.1208,,,,,,1,1,.,1
201,57,2,1,12,.,1,PCC - words,60,3,20,81.75,18.15,20,96.15,4.91,-1.0831,0.1147,,,,,,1,1,.,1
212,57,2,1,12,.,2,PCC - conversation,60,3,20,73.75,19.73,20,94.81,4.45,-1.4726,0.1271,,,,,,1,1,.,1
